Title,Description
US Won #39;t Wait Long In Airbus-Boeing Row,"The United States will not wait long before resorting to legal action in the trade dispute over government support for Airbus and Boeing, US Trade Representative Robert Zoellick said on Tuesday."
Wal-Mart Cuts Sales View; Stock Dips,"&lt;p&gt;\&lt;/p&gt;&lt;p&gt; By Emily Kaiser&lt;/p&gt;&lt;p&gt; CHICAGO (Reuters) - Wal-Mart Stores Inc. &lt;WMT.N&gt; lowered\its August sales forecast on Monday because of disappointing\back-to-school demand, casting doubt on the strength of U.S.\consumer spending in a key shopping season.&lt;/p&gt;"
Finding Friends   Foes (Forbes.com),"Forbes.com - Tens of millions of people play videogames online; the tricky part is finding your friends--and favorite foes--among them. Michael Cassidy can help. His company, Xfire, runs a Web site that is the TV Guide, ma icirc;tre d' and instant messenger of the gaming world. Cassidy's service can point you to a buddy who is ready to play the game you want at any moment of the day or night. He already has a lot of friends to prove it. In eight months a million people in 100 countries have downloaded Xfire's software."
Toys R us Posts Operating Loss," NEW YORK (Reuters) - Toys R Us Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TOY.N target=/stocks/quickinfo/fullquote""&gt;TOY.N&lt;/A&gt;, which is  considering getting out of the toy business, on Monday posted a  second-quarter operating loss on poor sales of video games and  markdowns on older merchandise."
Dollar Rebounds as Oil Prices Ease," NEW YORK (Reuters) - The dollar was stronger across the  board on Monday as oil prices eased from record highs and a  more optimistic view on global economic growth prospects spread  through trading floors, analysts said."
Yukos cuts output to save money,"Russian oil producer Yukos is cutting back its production and slashing its expenditure, as the company battles for survival."
Rethinking Big Pharma,Risk is knocking Big Pharma stocks down. They won't be getting up anytime soon.
Toys R us Posts Operating Loss,"Toys R Us Inc. (TOY.N: Quote, Profile, Research) , which is considering getting out of the toy business, on Monday posted a second-quarter operating loss on poor sales of video games and markdowns on older merchandise."
Woolies in top-shelf profit,WOOLWORTHS yesterday hit back at rejuvenated competitor Coles Myer with a 13 per cent jump in full-year net profit and a belief it can replicate the performance in the coming year.
Plot Advanced in Kmart Real Estate Story,"Kmart (KMRT:Nasdaq - news - research) continued to make progress realizing value for its real-estate portfolio Monday, completing an agreement to sell 18 stores to Home Depot (HD:NYSE - news - research) for \$271 million."
Schering Exercises License Option,Drug giant Schering-Plough Corp. said Monday that it will pay \$10 million to exercise its option to license ViroPharma Inc. #39;s cold treatment in the United States and Canada.
China demand boosts metal recycler,"SIMS Group, the world #39;s biggest metal recycler, yesterday posted a 50 per cent jump in full-year net profit to \$112.5 million, buoyed by the Chinese economy #39;s effect on global metal markets."
"Spanish takeover will mean 3,000 Abbey job cuts","Around 3,000 jobs will be lost at Abbey National if the UK banks takeover by Spains Santander Central Hispano (SCH) goes ahead, it emerged today."
WWE Nearly Triples 1Q Profit,"World Wrestling Entertainment Inc. nearly tripled its first-quarter profit on higher revenue from airing two more pay-per-view television events than last year, but was slammed by declining live-event attendance "
"FedEx raises outlook to \$1 to \$1.10 per share for quarter, full &lt;b&gt;...&lt;/b&gt;","MEMPHIS, Tenn. - FedEx Corp. raised its earnings outlook Monday, citing more business for its international, ground delivery and less-than truckload services."
Russia #39;s Yukos cuts 2004 oil output forecast,Russian oil giant Yukos on Monday said its tax dispute with the state will mean a 4.5 percent cut inits 2004 oil output forecast. The company said in a statement that production 
Oil price pain kicks in,"Like a patient staring wide-eyed as a doctor readies a syringe, Australian business owners and consumers are nervously watching global oil prices scale new heights -- and waiting helplessly for the pain to kick in."
Virgin axes route as fuel soars,"VIRGIN Blue will dump its Sydney to Canberra service from the beginning of next month, blaming a Qantas stranglehold on government travel and poor bookings."
Google slammed for corporate sleaze,"Google #39;s eleventh hour price adjustment might have saved it some red-faces when it finally floated last week, but it #39;s back to earth with a bump this week."
Toys R Us Posts Operating Loss," NEW YORK (Reuters) - Toys R Us Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TOY.N target=/stocks/quickinfo/fullquote""&gt;TOY.N&lt;/A&gt;, which is  considering getting out of the toy business, on Monday posted a  second-quarter operating loss on poor sales of video games and  markdowns on older merchandise."
Blue Chips Flat After Wal-Mart Forecast," NEW YORK (Reuters) - U.S. blue chips were little changed on  Monday as a disappointing sales forecast from Wal-Mart Stores  Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WMT.N target=/stocks/quickinfo/fullquote""&gt;WMT.N&lt;/A&gt;, the world's biggest retailer, offset the effect  of easing oil prices."
Is Monster for Sale?,"The online employment site remains at the top, but the rest of the field is gaining ground."
President admits country in fiscal crisis,PRESIDENT Gloria Macapagal-Arroyo admitted on Monday that the country was in a fiscal crisis and called on the nation to help face the problem through sacrifice.
"Update 1: Yukos Cuts Output Forecast, Shares Fall",Beleaguered Russian oil company Yukos announced Monday that it had reduced its crude output forecast for the year as bailiffs continued to collect cash against the company #39;s crushing back taxes bill from its frozen bank accounts.
Toys  quot;R quot; Us Swings to 2Q Profit,"Toys  quot;R quot; Us Inc. swung to a profit in the second quarter from a loss a year ago, buoyed by a reversal of \$200 million in income tax reserves."
"UPDATE 4-UK #39;s ARM buys Artisan for \$913 mln, shares fall","British semiconductor designer ARM Holdings Plc (ARM.L: Quote, Profile, Research) agreed to buy US chip components firm Artisan (ARTI."
Toys R Us Posts Operating Loss," NEW YORK (Reuters) - Toys R Us Inc., which is considering  getting out of the toy business, on Monday posted a  second-quarter operating loss on poor sales of video games and  markdowns on older merchandise."
YUKOS Cuts 2004 Forecast Due to Tax Row," MOSCOW (Reuters) - Russia's top oil exporter YUKOS cut its  crude output forecast for 2004 on Monday due to a tax dispute  with the state, in a move analysts said was a sign that  Russia's prolific oil growth was set to slow down."
Supreme Court should end legacy of Prohibition,"With the holiday season underway, many will be stocking up on their favorite libations. But if it #39;s fine wine you fancy, choices may be more limited than you realize."
In the throes of a crisis,President Arroyo has asked her economic managers to lay the groundwork for the declaration of an unsustainable public deficit which will allow the national government 
"Chavez Cannot Unite Divided Venezuela, Foes Say","President Hugo Chavez is incapable of uniting Venezuela, his opponents said Monday after the left-wing leader announced he would no longer recognize their "
Stronach mum on Tobin,"Auto parts magnate Frank Stronach offered few details Monday on the circumstances leading up to Brian Tobin #39;s sudden departure from two of his companies, refusing to comment on reports of friction between the two ."
"FedEx Raises Forecast, Stock Climbs"," NEW YORK (Reuters) - FedEx Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FDX.N target=/stocks/quickinfo/fullquote""&gt;FDX.N&lt;/A&gt; on Monday raised  its earnings forecast for the fiscal first quarter and full  year due to strong demand in several of its businesses despite  concerns about the slowing growth in the U.S. economy."
Oil Eases as Iraq Resumes Exports," LONDON (Reuters) - High-flying oil prices eased for a  second session on Monday as Iraq resumed exports from both its  northern and southern outlets after lengthy disruption, despite  fierce fighting in the holy city of Najaf."
Wal-Mart Sales Slump Keeps Stocks Muddled,Wal-Mart Stores Inc. #39;s disappointing sales forecast sent stocks fluctuating Monday as investors #39; concerns about a slowing economy eclipsed their relief over a drop in oil prices.
Obesity Solution: Nuke It,Sharp unveils a new fat-busting microwave. Also: ARM Holdings zeroes in on Artisan Components   hellip;. Gateway will sell PCs at Micro Center stores in its latest push to return to profitability   hellip;. and more.
"Santander To Cut 3,000 Jobs","Spain #39;s Banco Santander Central Hispano is expected to announce today that it will cut up to 3,000 jobs at Abbey National if it succeeds with its agreed bid for the UK bank, the Financial Times reported."
Wal-Mart Lowers August Sales Forecast,"Wal-Mart Stores Inc., the world's biggest retailer, lowered its sales forecast for August, citing Hurricane Charley's swipe across Florida and slower than expected back-to-school sales."
